major_name,median_earnings_5yr,median_growth,school_count
Accounting and Related Services.,65711.5,19817.5,24
"Aerospace, Aeronautical and Astronautical Engineering.",96505,19565,3
Agricultural Business and Management.,64817.5,20776,4
Agricultural Public Services.,54653,15523.5,3
"Agriculture, General.",58503,14657,6
"Allied Health Diagnostic, Intervention, and Treatment Professions.",69176,-2242,4
Animal Sciences.,58759,22574.5,5
Anthropology.,43181,14104.5,7
Architecture.,65283,22205,5
"Biochemistry, Biophysics and Molecular Biology.",60555,32217,7
"Biology, General.",55432.5,28373.5,22
Biomedical/Medical Engineering.,91099,35054,3
"Business Administration, Management and Operations.",60818.5,15314,28
"Business/Commerce, General.",62954.5,18977,14
Business/Managerial Economics.,71499,26979,4
Chemical Engineering.,103401.5,30188.5,4
Chemistry.,63154,23030.5,7
Civil Engineering.,88533,18102,9
Clinical/Medical Laboratory Science/Research and Allied Professions.,69100,5812,6
Communication Disorders Sciences and Services.,56723,33176,9
Communication and Media Studies.,49486,17448,15
Computer Engineering.,107903,30702,7
Computer Science.,109391.5,23151,4
Computer Software and Media Applications.,57961,12725,3
"Computer and Information Sciences, General.",93584,23806,17
Computer/Information Technology Administration and Management.,82337,24210,3
Criminal Justice and Corrections.,50596,11457,20
Dance.,45951,16317,3
Dental Support Services and Allied Professions.,65969,3287,4
Design and Applied Arts.,60241,21039.5,5
Drama/Theatre Arts and Stagecraft.,38540.5,13230,6
Economics.,75745,29319,8
"Electrical, Electronics and Communications Engineering.",99037,24382.5,12
"English Language and Literature, General.",48448,17132.5,15
Finance and Financial Management Services.,75797,17613.5,17
Fine and Studio Arts.,41887,13844,12
"Foods, Nutrition, and Related Services.",57755,16332,5
Geography and Cartography.,64053.5,17938,4
Geological and Earth Sciences/Geosciences.,56658.5,13525,6
"Health Services/Allied Health/Health Sciences, General.",49788,19299,7
Health and Medical Administrative Services.,58207,11698,8
Health and Physical Education/Fitness.,56271.5,24164.5,22
History.,53850,16463,17
Hospitality Administration/Management.,51398,14491,3
"Human Development, Family Studies, and Related Services.",50443,12782,6
Human Resources Management and Services.,63882.5,18021,6
Industrial Engineering.,97042,29150,5
Information Science/Studies.,91046.5,30601,4
Interior Architecture.,58048,10667,3
International Business.,68829,27617,3
International/Global Studies.,62793,20907,3
Journalism.,52425,18666.5,6
"Liberal Arts and Sciences, General Studies and Humanities.",53312.5,14325,14
"Linguistic, Comparative, and Related Language Studies and Services.",53688,21695,3
Management Information Systems and Services.,70105,25425,9
Management Sciences and Quantitative Methods.,89334.5,34512,4
Marketing.,58370.5,20053,20
Mathematics.,61759,14736,12
Mechanical Engineering.,89711.5,21847.5,14
Microbiological Sciences and Immunology.,62914,33048,4
"Multi/Interdisciplinary Studies, Other.",54209,5352,25
Music.,52244,4574,11
Natural Resources Conservation and Research.,50178,20841,5
Petroleum Engineering.,118916,36828.5,4
Philosophy.,55022,14141,3
Physics.,92183,55351,3
Political Science and Government.,56747,24402,15
"Psychology, General.",47718,16303,25
Public Administration.,52103,10569,5
Public Health.,54775,23081.5,5
"Public Relations, Advertising, and Applied Communication.",57471,17060,7
"Radio, Television, and Digital Communication.",48797,15070,10
"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",87167,10779,23
Rhetoric and Composition/Writing Studies.,57656.5,19341,6
"Romance Languages, Literatures, and Linguistics.",51351,22255,9
Social Work.,51991,13366,13
Sociology.,49917,17254,18
"Specialized Sales, Merchandising and  Marketing Operations.",56709,16922,5
"Teacher Education and Professional Development, Specific Levels and Methods.",48888,-5371.5,6
"Teacher Education and Professional Development, Specific Subject Areas.",56081,3453.5,3
